@ BLR_STAT 189 2024 10 05 15:29:52.065 HG:     -4      1    -98 XYZ:      9     33   -997 Bo:  9986 7607 bt: 3283 gy:     0     0    -2 ang:      0      0 vel      0 AGL       0 CRC: AFBA
@ BLR_STAT 189 2024 10 05 15:29:52.285 HG:     -2      0   -103 XYZ:     14     46   -998 Bo:  9987 7607 bt: 3284 gy:     0     0     2 ang:      0      0 vel      0 AGL       0 CRC: 99FC
@ BLR_STAT 189 2024 10 05 15:29:52.505 HG:      4      0   -106 XYZ:     13     35  -1001 Bo:  9987 7607 bt: 3284 gy:     0     1    -1 ang:      0      0 vel      0 AGL       0 CRC: C4E7
@ BLR_STAT 189 2024 10 05 15:29:52.725 HG:     -5      1   -104 XYZ:      9     37   -998 Bo:  9986 7607 bt: 3283 gy:     0    -1     0 ang:      0      0 vel      0 AGL       2 CRC: 5572
@ BLR_STAT 189 2024 10 05 15:29:52.945 HG:      2      5   -108 XYZ:     13     37   -997 Bo:  9986 7607 bt: 3284 gy:     0     0    -1 ang:      0      0 vel      0 AGL       0 CRC: A1F1
@ BLR_STAT 189 2024 10 05 15:29:53.165 HG:      6      2   -112 XYZ:     13     36  -1000 Bo:  9986 7607 bt: 3283 gy:    -2     0    -1 ang:      0      0 vel      0 AGL       0 CRC: 4E31
@ BLR_STAT 189 2024 10 05 15:29:53.385 HG:     12      6   -100 XYZ:     15     40   -991 Bo:  9987 7608 bt: 3284 gy:     0     0     0 ang:      0      0 vel      0 AGL      -1 CRC: 0E42
@ BLR_STAT 189 2024 10 05 15:29:53.605 HG:     11     14    -93 XYZ:     13     34   -997 Bo:  9985 7608 bt: 3283 gy:     0     0     0 ang:      0      0 vel      0 AGL       2 CRC: BD93
@ BLR_STAT 189 2024 10 05 15:29:53.825 HG:      8     17    -95 XYZ:     14     38  -1002 Bo:  9986 7607 bt: 3283 gy:     0     0     0 ang:      0      0 vel      0 AGL       1 CRC: 0B18
@ BLR_STAT 189 2024 10 05 15:29:54.045 HG:     -1      5    -93 XYZ:     21     40   -990 Bo:  9986 7607 bt: 3282 gy:     0     0     0 ang:      0      0 vel      0 AGL       0 CRC: F1C2
@ BLR_STAT 189 2024 10 05 15:29:54.265 HG:     -8      6    -92 XYZ:     16     40  -1001 Bo:  9987 7607 bt: 3283 gy:    -1     0    -1 ang:      0      0 vel      0 AGL       0 CRC: BE1C
